Date,Open,High,Low,Close,Adj Close,Volume
"Jul 08, 2026",360.12,363.01,354.25,356.03,356.03,"4,214,000"
"Jul 07, 2026",377.40,377.90,363.63,366.98,366.98,"4,263,100"
"Jul 06, 2026",377.17,380.29,373.84,378.68,378.68,"4,065,400"
"Jul 02, 2026",379.79,382.97,374.37,377.52,377.05,"3,274,700"
"Jul 01, 2026",375.03,376.69,371.38,374.94,374.47,"3,951,400"
"Jun 30, 2026",374.61,376.82,368.74,373.73,373.26,"4,887,500"
"Jun 29, 2026",367.82,376.00,367.47,373.71,373.24,"6,071,500"
"Jun 26, 2026",368.40,371.44,363.82,369.00,368.54,"8,360,900"
"Jun 25, 2026",367.65,379.67,366.51,371.36,370.90,"7,591,800"
"Jun 24, 2026",356.84,369.25,355.66,365.88,365.42,"6,453,700"
"Jun 23, 2026",349.28,359.92,347.77,356.47,356.03,"4,735,200"
"Jun 22, 2026",357.64,361.28,354.54,355.12,354.68,"5,426,700"
"Jun 18, 2026",362.85,364.70,357.10,357.64,357.19,"7,763,400"
"Jun 17, 2026",352.11,362.33,350.00,357.03,356.59,"5,029,400"
"Jun 16, 2026",344.04,352.88,344.04,351.73,351.29,"5,210,300"
"Jun 15, 2026",343.45,348.90,341.96,342.26,341.83,"5,252,700"
"Jun 12, 2026",334.56,336.86,328.47,335.30,334.88,"4,377,500"
"Jun 11, 2026",320.56,332.92,319.76,332.76,332.35,"4,451,200"
"Jun 10, 2026",329.49,330.57,318.25,318.71,318.31,"3,777,800"
"Jun 09, 2026",324.65,331.31,320.02,330.44,330.03,"4,825,300"
"Jun 08, 2026",329.57,332.02,321.04,322.04,321.64,"3,152,100"
"Jun 05, 2026",326.90,332.49,322.53,328.00,327.59,"3,951,500"
"Jun 04, 2026",316.67,329.46,316.25,327.65,327.24,"4,243,400"
"Jun 03, 2026",313.44,319.55,311.00,314.64,314.25,"4,127,000"
"Jun 02, 2026",323.00,325.03,316.66,317.72,317.32,"4,827,600"
"Jun 01, 2026",321.48,326.40,314.92,324.60,324.20,"4,633,500"
"May 29, 2026",319.33,325.92,316.58,323.76,323.36,"9,345,400"
"May 28, 2026",316.77,322.32,314.29,320.82,320.42,"5,022,600"
"May 27, 2026",314.30,320.48,311.95,317.21,316.82,"4,788,100"
